ID,Name,Parameter,Language,Frequency,Confidence,References
1-100-205-1,'bot_,world,Albanian (Tosk variety),,,
1-100-205-3,_e,world,Albanian (Tosk variety),,,
1-100-205-5,r_okul_i a'l_em,world,Albanian (Tosk variety),,,
1-100-205-7,du_'_a,world,Albanian (Tosk variety),,,
1-210-205-1,'tok_,"earth, land",Albanian (Tosk variety),,,
1-210-205-3,_e,"earth, land",Albanian (Tosk variety),,,
1-212-205-1,'tok_,"earth=ground, soil",Albanian (Tosk variety),,,
1-212-205-3,'trual_,"earth=ground, soil",Albanian (Tosk variety),,,
1-213-205-1,'pluhur,dust,Albanian (Tosk variety),,,
1-214-205-1,'bal_t_,mud,Albanian (Tosk variety),,,
1-215-205-1,'r_r_,sand,Albanian (Tosk variety),,,
1-220-205-1,mal_,"mountain, hill",Albanian (Tosk variety),,,
1-222-205-1,hum'ner_,"cliff, precipice",Albanian (Tosk variety),,,
1-222-205-3,gre'min_,"cliff, precipice",Albanian (Tosk variety),,,
1-230-205-1,'fus__,"plain, field",Albanian (Tosk variety),,,
1-240-205-1,l_u'gin_,valley,Albanian (Tosk variety),,,
1-250-205-1,'is_ul,island,Albanian (Tosk variety),,,
1-260-205-1,[kontinent],mainland,Albanian (Tosk variety),,,
1-270-205-1,plaz_,shore,Albanian (Tosk variety),,,
1-270-205-3,breg'det,shore,Albanian (Tosk variety),,,
1-270-205-5,breg,shore,Albanian (Tosk variety),,,
1-280-205-1,'s_pel_,cave,Albanian (Tosk variety),,,
1-280-205-3,'guv_,cave,Albanian (Tosk variety),,,
1-280-205-5,'u__,cave,Albanian (Tosk variety),,,
1-310-205-1,'uy_,water,Albanian (Tosk variety),,,
1-320-205-1,det,sea,Albanian (Tosk variety),,,
1-322-205-1,bu'nac__,calm (of sea),Albanian (Tosk variety),,,
1-324-205-1,'s_kum_,foam,Albanian (Tosk variety),,,
1-329-205-1,[ok_ean],ocean,Albanian (Tosk variety),,,
1-330-205-1,l_i'k_en,lake,Albanian (Tosk variety),,,
1-340-205-1,g_i,"gulf, bay",Albanian (Tosk variety),,,
1-340-205-3,l_i'man,"gulf, bay",Albanian (Tosk variety),,,
1-341-205-1,pelg,lagoon,Albanian (Tosk variety),,,
1-341-205-3,pi's_in_,lagoon,Albanian (Tosk variety),,,
1-342-205-1,'gum_,reef,Albanian (Tosk variety),,,
1-343-205-1,'hund_ 'toke,"headland, point",Albanian (Tosk variety),,,
1-350-205-1,'dalg_,wave,Albanian (Tosk variety),,,
1-352-205-1,zba'tic__,tide,Albanian (Tosk variety),,,
1-352-205-3,'r_üm_2,tide,Albanian (Tosk variety),,,
1-354-205-1,ba'tic_a,hightide,Albanian (Tosk variety),,,
1-360-205-1,l_um_,"river, stream, brook",Albanian (Tosk variety),,,
1-362-205-1,'vorbul,whirlpool,Albanian (Tosk variety),,,
1-362-205-3,g_ir,whirlpool,Albanian (Tosk variety),,,
1-362-205-5,r_uful,whirlpool,Albanian (Tosk variety),,,
1-370-205-1,pus,"spring, well",Albanian (Tosk variety),,,
1-370-205-3,'guf_,"spring, well",Albanian (Tosk variety),,,
1-370-205-5,'krua,"spring, well",Albanian (Tosk variety),,,
1-370-205-7,bu'rim,"spring, well",Albanian (Tosk variety),,,
1-370-205-9,bu'rom_,"spring, well",Albanian (Tosk variety),,,
1-380-205-1,k_'net_,swamp,Albanian (Tosk variety),,,
1-380-205-3,mo'c_al_,swamp,Albanian (Tosk variety),,,
1-390-205-1,uy_'var_,waterfall,Albanian (Tosk variety),,,
1-410-205-1,pu_l,"woods, forest",Albanian (Tosk variety),,,
1-420-205-1,'pem_,tree (cf 08.600),Albanian (Tosk variety),,,
1-430-205-1,dru,wood,Albanian (Tosk variety),,,
1-440-205-1,gur,"stone, rock",Albanian (Tosk variety),,,
1-440-205-3,s_k_mb,"stone, rock",Albanian (Tosk variety),,,
1-450-205-1,t_r'met,earthquake,Albanian (Tosk variety),,,
1-510-205-1,k_el,sky,Albanian (Tosk variety),,,
1-510-205-3,ha'va,sky,Albanian (Tosk variety),,,
1-520-205-1,diel,sun,Albanian (Tosk variety),,,
1-530-205-1,'h_n_,moon,Albanian (Tosk variety),,,
1-540-205-1,u_l,star,Albanian (Tosk variety),,,
1-540-205-3,su_z,star,Albanian (Tosk variety),,,
1-550-205-1,vet_'tim_,lightning,Albanian (Tosk variety),,,
1-560-205-1,bubu'lim_,thunder,Albanian (Tosk variety),,,
1-560-205-3,g__'mim,thunder,Albanian (Tosk variety),,,
1-570-205-1,r_ufe,lightning (as striking),Albanian (Tosk variety),,,
1-580-205-1,stuhi,storm,Albanian (Tosk variety),,,
1-580-205-3,furtun_,storm,Albanian (Tosk variety),,,
1-580-205-5,tu'fan,storm,Albanian (Tosk variety),,,
1-580-205-7,du'hac_,storm,Albanian (Tosk variety),,,
1-590-205-1,u_l_'ber,rainbow,Albanian (Tosk variety),,,
1-610-205-1,'drit_,light (noun),Albanian (Tosk variety),,,
1-610-205-3,ndri'c_im,light (noun),Albanian (Tosk variety),,,
1-620-205-1,'er__t,darkness,Albanian (Tosk variety),,,
1-620-205-3,er_a'sir_,darkness,Albanian (Tosk variety),,,
1-620-205-5,'zu_mt_,darkness,Albanian (Tosk variety),,,
1-630-205-1,'hiye,"shade, shadow",Albanian (Tosk variety),,,
1-640-205-1,ves_,dew,Albanian (Tosk variety),,,
1-710-205-1,ayr,air,Albanian (Tosk variety),,,
1-720-205-1,'er_,wind,Albanian (Tosk variety),,,
1-730-205-1,re,cloud,Albanian (Tosk variety),,,
1-740-205-1,'myegul,fog,Albanian (Tosk variety),,,
1-750-205-1,s_i,rain (noun),Albanian (Tosk variety),,,
1-760-205-1,'bor_,snow (noun),Albanian (Tosk variety),,,
1-770-205-1,'akul,ice,Albanian (Tosk variety),,,
1-780-205-1,mot,weather,Albanian (Tosk variety),,,
1-810-205-1,zyar_,fire,Albanian (Tosk variety),,,
1-820-205-1,'fl_ak_,flame (noun),Albanian (Tosk variety),,,
1-830-205-1,tu_m,smoke (noun),Albanian (Tosk variety),,,
1-840-205-1,hi,ashes,Albanian (Tosk variety),,,
1-841-205-1,prus_,embers,Albanian (Tosk variety),,,
1-851-205-1,dyeg,burn (vb trans),Albanian (Tosk variety),,,
1-852-205-1,c_uks,burn (vb intrans),Albanian (Tosk variety),,,
1-860-205-1,mer_ fl_ak_,"light, kindle, ignite",Albanian (Tosk variety),,,
1-860-205-3,v_ zya__in,"light, kindle, ignite",Albanian (Tosk variety),,,
1-861-205-1,'s_uay,extinguish,Albanian (Tosk variety),,,
1-870-205-1,'s_krepase,match (noun),Albanian (Tosk variety),,,
1-880-205-1,dru zyar_i,firewood,Albanian (Tosk variety),,,
1-890-205-1,k_ü'mür05,charcoal,Albanian (Tosk variety),,,
2-100-205-1,_e'ri,"person, human being",Albanian (Tosk variety),,,
2-210-205-1,'bur__,man (vs. woman),Albanian (Tosk variety),,,
2-220-205-1,'grua,woman,Albanian (Tosk variety),,,
2-230-205-1,'mas_kul,male,Albanian (Tosk variety),,,
2-240-205-1,'fem_r,female,Albanian (Tosk variety),,,
2-250-205-1,'dyal__,boy,Albanian (Tosk variety),,,
2-250-205-3,bir,boy,Albanian (Tosk variety),,,
2-250-205-5,c_un,boy,Albanian (Tosk variety),,,
2-251-205-1,'dyal__,young man (adolescent),Albanian (Tosk variety),,,
2-260-205-1,'vayz_,girl,Albanian (Tosk variety),,,
2-261-205-1,'nuse,young woman (adolescent),Albanian (Tosk variety),,,
2-270-205-1,f_'miy_,child,Albanian (Tosk variety),,,
2-280-205-1,'fos___,"infant, baby",Albanian (Tosk variety),,,
2-310-205-1,'bur__,husband,Albanian (Tosk variety),,,
2-320-205-1,'grua,wife,Albanian (Tosk variety),,,
2-330-205-1,mar'tohet,marry,Albanian (Tosk variety),,,
2-340-205-1,mar'tes_,"marriage, wedding",Albanian (Tosk variety),,,
2-340-205-3,'dasm_,"marriage, wedding",Albanian (Tosk variety),,,
2-341-205-1,s_kuror_'zon,divorce,Albanian (Tosk variety),,,
2-350-205-1,ba'ba,father,Albanian (Tosk variety),,,
2-350-205-3,at,father,Albanian (Tosk variety),,,
2-360-205-1,'n_n_,mother,Albanian (Tosk variety),,,
2-370-205-1,'prind_r,parents,Albanian (Tosk variety),,,
2-410-205-1,bir,son,Albanian (Tosk variety),,,
2-410-205-3,'dyal__,son,Albanian (Tosk variety),,,
2-420-205-1,'biy_,daughter,Albanian (Tosk variety),,,
2-440-205-1,v_'la,brother,Albanian (Tosk variety),,,
2-444-205-1,'ap_,older brother,Albanian (Tosk variety),,,
2-444-205-3,'l_al__,older brother,Albanian (Tosk variety),,,
2-450-205-1,'mot_r,sister,Albanian (Tosk variety),,,
2-455-205-1,'l_o__e,younger sister,Albanian (Tosk variety),,,
2-458-205-1,bi'_ak_,twins,Albanian (Tosk variety),,,
2-460-205-1,g_ü__-,grandfather,Albanian (Tosk variety),,,
2-461-205-1,pl_ak,old man,Albanian (Tosk variety),,,
2-470-205-1,'g_ü__e0,grandmother,Albanian (Tosk variety),,,
2-471-205-1,'pl_ak_,old woman,Albanian (Tosk variety),,,
2-480-205-1,nip,grandson,Albanian (Tosk variety),,,
2-490-205-1,'mbes_,granddaughter,Albanian (Tosk variety),,,
2-510-205-1,_a'_a,uncle,Albanian (Tosk variety),,,
2-510-205-3,'day_,uncle,Albanian (Tosk variety),,,
2-511-205-1,'day_,mother's brother,Albanian (Tosk variety),,,
2-512-205-1,_a'_a,father's brother,Albanian (Tosk variety),,,
2-520-205-1,'teze,aunt,Albanian (Tosk variety),,,
2-520-205-3,'hal_,aunt,Albanian (Tosk variety),,,
2-521-205-1,'teze,mother's sister,Albanian (Tosk variety),,,
2-522-205-1,'hal_,father's sister,Albanian (Tosk variety),,,
2-530-205-1,nip,nephew,Albanian (Tosk variety),,,
2-540-205-1,'mbes_,niece,Albanian (Tosk variety),,,
