ID,Name,Parameter,Language,Frequency,Confidence,References
1-100-131-1,világ,world,Hungarian,,,
1-210-131-1,föld,"earth, land",Hungarian,,,
1-212-131-1,föld,"earth=ground, soil",Hungarian,,,
1-212-131-3,talay,"earth=ground, soil",Hungarian,,,
1-213-131-1,por,dust,Hungarian,,,
1-214-131-1,sár,mud,Hungarian,,,
1-215-131-1,homok,sand,Hungarian,,,
1-220-131-1,hegy,"mountain, hill",Hungarian,,,
1-222-131-1,szikla,"cliff, precipice",Hungarian,,,
1-222-131-3,szirt,"cliff, precipice",Hungarian,,,
1-230-131-1,sikság,"plain, field",Hungarian,,,
1-230-131-3,mez_,"plain, field",Hungarian,,,
1-240-131-1,völgy,valley,Hungarian,,,
1-250-131-1,sziget,island,Hungarian,,,
1-260-131-1,szárazföld,mainland,Hungarian,,,
1-260-131-3,[kontinens],mainland,Hungarian,,,
1-270-131-1,part,shore,Hungarian,,,
1-280-131-1,barlang,cave,Hungarian,,,
1-310-131-1,víz,water,Hungarian,,,
1-320-131-1,tenger,sea,Hungarian,,,
1-322-131-1,nyugodt,calm (of sea),Hungarian,,,
1-322-131-3,czendes,calm (of sea),Hungarian,,,
1-323-131-1,viharos,rough (of sea),Hungarian,,,
1-324-131-1,hab,foam,Hungarian,,,
1-324-131-3,tayték,foam,Hungarian,,,
1-329-131-1,óceán,ocean,Hungarian,,,
1-330-131-1,tó,lake,Hungarian,,,
1-340-131-1,öböl,"gulf, bay",Hungarian,,,
1-341-131-1,lagúna,lagoon,Hungarian,,,
1-342-131-1,szirt,reef,Hungarian,,,
1-342-131-3,zátony,reef,Hungarian,,,
1-343-131-1,hegyfok,"headland, point",Hungarian,,,
1-343-131-3,földnelv,"headland, point",Hungarian,,,
1-350-131-1,hullám,wave,Hungarian,,,
1-352-131-1,árapály,tide,Hungarian,,,
1-353-131-1,apály,lowtide,Hungarian,,,
1-354-131-1,dagály,hightide,Hungarian,,,
1-360-131-1,folyo ~ folyam,"river, stream, brook",Hungarian,,,
1-360-131-3,ár,"river, stream, brook",Hungarian,,,
1-360-131-5,patak,"river, stream, brook",Hungarian,,,
1-362-131-1,forgatag,whirlpool,Hungarian,,,
1-370-131-1,forrás,"spring, well",Hungarian,,,
1-370-131-3,kút,"spring, well",Hungarian,,,
1-380-131-1,moczár,swamp,Hungarian,,,
1-380-131-3,láp,swamp,Hungarian,,,
1-380-131-5,ingovány,swamp,Hungarian,,,
1-390-131-1,vízesés,waterfall,Hungarian,,,
1-410-131-1,erd_,"woods, forest",Hungarian,,,
1-420-131-1,fa,tree (cf 08.600),Hungarian,,,
1-430-131-1,fányag,wood,Hungarian,,,
1-430-131-3,t_zifa,wood,Hungarian,,,
1-440-131-1,k_,"stone, rock",Hungarian,,,
1-440-131-3,szikla,"stone, rock",Hungarian,,,
1-440-131-5,szirt,"stone, rock",Hungarian,,,
1-450-131-1,földrengés,earthquake,Hungarian,,,
1-510-131-1,ég,sky,Hungarian,,,
1-520-131-1,nap,sun,Hungarian,,,
1-530-131-1,hold,moon,Hungarian,,,
