ID,Name,Parameter,Language,Frequency,Confidence,References
1-100-179-1,lume,world,Romanian,,,
1-210-179-1,pami_nt,"earth, land",Romanian,,,
1-210-179-3,t_ar__,"earth, land",Romanian,,,
1-213-179-1,praf,dust,Romanian,,,
1-213-179-3,pulbere,dust,Romanian,,,
1-214-179-1,noroiu,mud,Romanian,,,
1-215-179-1,nisip,sand,Romanian,,,
1-220-179-1,munte,"mountain, hill",Romanian,,,
1-220-179-3,deal,"mountain, hill",Romanian,,,
1-220-179-5,colina,"mountain, hill",Romanian,,,
1-230-179-1,ci_mp,"plain, field",Romanian,,,
1-240-179-1,vale,valley,Romanian,,,
1-250-179-1,insula_,island,Romanian,,,
1-250-179-3,(ostrov),island,Romanian,,,
1-260-179-1,continent,mainland,Romanian,,,
1-270-179-1,mal,shore,Romanian,,,
1-270-179-3,t___rm,shore,Romanian,,,
1-270-179-5,coasta_,shore,Romanian,,,
1-310-179-1,apa_,water,Romanian,,,
1-320-179-1,mare,sea,Romanian,,,
1-330-179-1,lac,lake,Romanian,,,
1-340-179-1,golf,"gulf, bay",Romanian,,,
1-350-179-1,val,wave,Romanian,,,
1-350-179-3,talaz,wave,Romanian,,,
1-350-179-5,(unda_),wave,Romanian,,,
1-360-179-1,fluviu,"river, stream, brook",Romanian,,,
1-360-179-3,ri___,"river, stream, brook",Romanian,,,
1-360-179-5,pi_rî__7,"river, stream, brook",Romanian,,,
1-370-179-1,izvor,"spring, well",Romanian,,,
1-370-179-3,put_,"spring, well",Romanian,,,
1-370-179-5,fi_ntîn__-,"spring, well",Romanian,,,
1-410-179-1,pa_dure,"woods, forest",Romanian,,,
1-420-179-1,arbore,tree (cf 08.600),Romanian,,,
1-420-179-3,copac,tree (cf 08.600),Romanian,,,
1-430-179-1,lemn,wood,Romanian,,,
1-440-179-1,piatra_,"stone, rock",Romanian,,,
1-440-179-3,sti_nc__,"stone, rock",Romanian,,,
1-440-179-5,roca_,"stone, rock",Romanian,,,
1-510-179-1,cer,sky,Romanian,,,
1-520-179-1,soare,sun,Romanian,,,
1-530-179-1,luna_,moon,Romanian,,,
1-540-179-1,stea,star,Romanian,,,
1-550-179-1,fulger,lightning,Romanian,,,
1-560-179-1,tunet,thunder,Romanian,,,
1-570-179-1,tra_snet,lightning (as striking),Romanian,,,
1-610-179-1,lumina_,light (noun),Romanian,,,
1-620-179-1,i_ntuneric,darkness,Romanian,,,
1-630-179-1,umbra_,"shade, shadow",Romanian,,,
1-710-179-1,aer,air,Romanian,,,
1-710-179-3,vazduh,air,Romanian,,,
1-720-179-1,vi_nt,wind,Romanian,,,
1-730-179-1,nor,cloud,Romanian,,,
1-740-179-1,ceat___,fog,Romanian,,,
1-740-179-3,negura_,fog,Romanian,,,
1-750-179-1,ploaie,rain (noun),Romanian,,,
1-760-179-1,za_pad__,snow (noun),Romanian,,,
1-770-179-1,ghiat___,ice,Romanian,,,
1-780-179-1,timp,weather,Romanian,,,
1-780-179-3,vreme,weather,Romanian,,,
1-810-179-1,foc,fire,Romanian,,,
1-820-179-1,flaca_r__,flame (noun),Romanian,,,
1-830-179-1,fum,smoke (noun),Romanian,,,
1-840-179-1,cenus_e,ashes,Romanian,,,
1-860-179-1,aprinde,"light, kindle, ignite",Romanian,,,
1-860-179-3,i_ncinge,"light, kindle, ignite",Romanian,,,
1-870-179-1,chibrit,match (noun),Romanian,,,
2-100-179-1,om,"person, human being",Romanian,,,
2-210-179-1,ba_rbat,man (vs. woman),Romanian,,,
2-210-179-3,om,man (vs. woman),Romanian,,,
2-220-179-1,femeie,woman,Romanian,,,
2-230-179-1,ba_rb__tesc,male,Romanian,,,
2-240-179-1,femeiesc,female,Romanian,,,
2-250-179-1,ba_iat,boy,Romanian,,,
2-250-179-3,(fa_t),boy,Romanian,,,
2-260-179-1,fata_,girl,Romanian,,,
2-270-179-1,copil,child,Romanian,,,
2-280-179-1,copilas_,"infant, baby",Romanian,,,
2-280-179-3,prunc,"infant, baby",Romanian,,,
2-310-179-1,sot_,husband,Romanian,,,
2-320-179-1,sot_ie,wife,Romanian,,,
2-320-179-3,nevasta_,wife,Romanian,,,
2-330-179-1,se ca_s__tori,marry,Romanian,,,
2-330-179-3,se i_nsura,marry,Romanian,,,
2-330-179-5,se ma_rita,marry,Romanian,,,
2-340-179-1,ca_satorie,"marriage, wedding",Romanian,,,
2-340-179-3,nunta_,"marriage, wedding",Romanian,,,
2-350-179-1,tata_,father,Romanian,,,
2-360-179-1,mama_,mother,Romanian,,,
2-370-179-1,pa_rin____,parents,Romanian,,,
2-410-179-1,fiu,son,Romanian,,,
2-420-179-1,fi_c__,daughter,Romanian,,,
2-440-179-1,frate,brother,Romanian,,,
2-450-179-1,sora_,sister,Romanian,,,
2-460-179-1,tata_ mare,grandfather,Romanian,,,
2-460-179-3,bunic,grandfather,Romanian,,,
2-470-179-1,mama_ mare,grandmother,Romanian,,,
2-470-179-3,bunica,grandmother,Romanian,,,
2-480-179-1,nepot,grandson,Romanian,,,
2-490-179-1,nepoata_,granddaughter,Romanian,,,
2-510-179-1,unchiu,uncle,Romanian,,,
2-520-179-1,ma_tu____,aunt,Romanian,,,
2-530-179-1,nepot,nephew,Romanian,,,
2-540-179-1,nepoata_,niece,Romanian,,,
2-550-179-1,va_r,cousin,Romanian,,,
2-550-179-3,vara_,cousin,Romanian,,,
2-550-179-5,veris_or,cousin,Romanian,,,
2-550-179-7,veris_oar__,cousin,Romanian,,,
2-560-179-1,stramos_i,ancestors,Romanian,,,
2-560-179-3,strabuni,ancestors,Romanian,,,
2-570-179-1,descendent_i,descendants,Romanian,,,
2-570-179-3,cobori_tori,descendants,Romanian,,,
2-610-179-1,socru,father-in-law (of a man),Romanian,,,
2-620-179-1,socra,mother-in-law (of a man),Romanian,,,
2-630-179-1,ginere,son-in-law (of a man),Romanian,,,
2-640-179-1,nora,daughter-in-law (of a man),Romanian,,,
2-710-179-1,tata_ vitreg,stepfather,Romanian,,,
2-720-179-1,mama_ vitreg__,stepmother,Romanian,,,
2-730-179-1,fiu vitreg,stepson,Romanian,,,
2-740-179-1,fata_ vitreg__,stepdaughter,Romanian,,,
2-750-179-1,orfan,orphan,Romanian,,,
2-750-179-3,orfana_,orphan,Romanian,,,
2-760-179-1,va_duv__,widow,Romanian,,,
2-810-179-1,rude,"relatives, kinsmen",Romanian,,,
2-820-179-1,familie,family,Romanian,,,
3-110-179-1,animal,animal,Romanian,,,
3-110-179-3,bestie,animal,Romanian,,,
3-120-179-1,ba_rbatesc,male (adj),Romanian,,,
3-130-179-1,femeiesc,female (adj),Romanian,,,
3-150-179-1,vite,livestock,Romanian,,,
3-150-179-3,(dobitoc),livestock,Romanian,,,
3-160-179-1,paste,pasture,Romanian,,,
3-180-179-1,cioban,herdsman,Romanian,,,
3-180-179-3,(pa_stor),herdsman,Romanian,,,
3-190-179-1,staul,"stable, stall",Romanian,,,
3-190-179-3,grajd,"stable, stall",Romanian,,,
3-200-179-1,vite,cattle (bovine),Romanian,,,
