,Word,Length,Vowel,Cons,Language,Common Char,Cons Percent,Vowel Percent,More Three
0,bot,3,1,2,1.0,0,0.6666666666666666,0.3333333333333333,No
1,e,1,1,0,1.0,0,0.0,1.0,No
2,rokulialem,10,5,5,1.0,3,0.5,0.5,Yes
3,dua,3,2,1,1.0,1,0.3333333333333333,0.6666666666666666,No
4,tok,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
5,tok,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
6,e,1,1,0,1.0,0,0.0,1.0,No
7,e,1,1,0,1.0,0,0.0,1.0,No
8,trual,5,2,3,1.0,1,0.6,0.4,No
9,trual,5,2,3,1.0,3,0.6,0.4,Yes
10,pluhur,6,2,4,1.0,2,0.6666666666666666,0.3333333333333333,No
11,balt,4,1,3,1.0,1,0.75,0.25,No
12,rr,2,0,2,1.0,0,1.0,0.0,No
13,mal,3,1,2,1.0,0,0.6666666666666666,0.3333333333333333,No
14,fus,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
15,fus,3,1,2,1.0,0,0.6666666666666666,0.3333333333333333,No
16,lugin,5,2,3,1.0,2,0.6,0.4,No
17,isul,4,2,2,1.0,2,0.5,0.5,No
18,kontinent,9,3,6,1.0,1,0.6666666666666666,0.3333333333333333,No
19,kontinent,9,3,6,1.0,8,0.6666666666666666,0.3333333333333333,Yes
20,plaz,4,1,3,1.0,2,0.75,0.25,No
21,bregdet,7,2,5,1.0,2,0.7142857142857143,0.2857142857142857,No
22,breg,4,1,3,1.0,1,0.75,0.25,No
23,uy,2,2,0,1.0,0,0.0,1.0,No
24,det,3,1,2,1.0,2,0.6666666666666666,0.3333333333333333,No
25,liken,5,2,3,1.0,0,0.6,0.4,No
26,gi,2,1,1,1.0,0,0.5,0.5,No
27,liman,5,2,3,1.0,1,0.6,0.4,No
28,dalg,4,1,3,1.0,2,0.75,0.25,No
29,lum,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
30,lum,3,1,2,1.0,0,0.6666666666666666,0.3333333333333333,No
31,lum,3,1,2,1.0,0,0.6666666666666666,0.3333333333333333,No
32,pus,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
33,pus,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
34,pus,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
35,guf,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
36,guf,3,1,2,1.0,1,0.6666666666666666,0.3333333333333333,No
37,guf,3,1,2,1.0,0,0.6666666666666666,0.3333333333333333,No
38,krua,4,2,2,1.0,2,0.5,0.5,No
39,krua,4,2,2,1.0,2,0.5,0.5,No
