,Albanian,Parameter,Bulgarian,Hungarian,Romanian
0,bot,world,svjat,vilag,lume
1,e,world,svjat,vilag,lume
2,rokulialem,world,svjat,vilag,lume
3,dua,world,svjat,vilag,lume
4,tok,earth,zemja,fold,pamint
5,tok,earth,zemja,fold,tar
6,tok,earth,zemja,talay,pamint
7,tok,earth,zemja,talay,tar
8,tok,earth,pocva,fold,pamint
9,tok,earth,pocva,fold,tar
10,tok,earth,pocva,talay,pamint
11,tok,earth,pocva,talay,tar
12,e,earth,zemja,fold,pamint
13,e,earth,zemja,fold,tar
14,e,earth,zemja,talay,pamint
15,e,earth,zemja,talay,tar
16,e,earth,pocva,fold,pamint
17,e,earth,pocva,fold,tar
18,e,earth,pocva,talay,pamint
19,e,earth,pocva,talay,tar
20,trual,earth,zemja,fold,pamint
21,trual,earth,zemja,fold,tar
22,trual,earth,zemja,talay,pamint
23,trual,earth,zemja,talay,tar
24,trual,earth,pocva,fold,pamint
25,trual,earth,pocva,fold,tar
26,trual,earth,pocva,talay,pamint
27,trual,earth,pocva,talay,tar
28,pluhur,dust,prax,por,praf
29,pluhur,dust,prax,por,pulbere
30,balt,mud,kal,sar,noroiu
31,rr,sand,pjasak,homok,nisip
32,mal,mountain,planina,hegy,munte
33,mal,mountain,planina,hegy,deal
34,mal,mountain,planina,hegy,colina
35,mal,mountain,xalm,hegy,munte
36,mal,mountain,xalm,hegy,deal
37,mal,mountain,xalm,hegy,colina
54,fus,plain,ravnina,siksag,cimp
55,fus,plain,ravnina,mez,cimp
56,fus,plain,pole,siksag,cimp
57,fus,plain,pole,mez,cimp
58,lugin,valley,dolina,volgy,vale
59,isul,island,ostrov,sziget,insula
60,isul,island,ostrov,sziget,ostrov
61,kontinent,mainland,zemja,szarazfold,continent
62,kontinent,mainland,zemja,kontinens,continent
63,kontinent,mainland,susa,szarazfold,continent
64,kontinent,mainland,susa,kontinens,continent
65,kontinent,mainland,kontinent,szarazfold,continent
66,kontinent,mainland,kontinent,kontinens,continent
67,plaz,shore,brjag,part,mal
68,plaz,shore,brjag,part,trm
69,plaz,shore,brjag,part,coasta
70,bregdet,shore,brjag,part,mal
71,bregdet,shore,brjag,part,trm
72,bregdet,shore,brjag,part,coasta
73,breg,shore,brjag,part,mal
74,breg,shore,brjag,part,trm
75,breg,shore,brjag,part,coasta
79,uy,water,voda,viz,apa
80,det,sea,more,tenger,mare
88,liken,lake,ezero,to,lac
89,gi,gulf,zaliv,obol,golf
90,liman,gulf,zaliv,obol,golf
97,dalg,wave,valna,hullam,val
98,dalg,wave,valna,hullam,talaz
99,dalg,wave,valna,hullam,unda
105,lum,river,reka,folyo,fluviu
106,lum,river,reka,folyo,ri
107,lum,river,reka,folyo,piri
108,lum,river,reka,ar,fluviu
109,lum,river,reka,ar,ri
110,lum,river,reka,ar,piri
111,lum,river,reka,patak,fluviu
112,lum,river,reka,patak,ri
113,lum,river,reka,patak,piri
114,lum,river,potok,folyo,fluviu
115,lum,river,potok,folyo,ri
116,lum,river,potok,folyo,piri
117,lum,river,potok,ar,fluviu
118,lum,river,potok,ar,ri
119,lum,river,potok,ar,piri
120,lum,river,potok,patak,fluviu
121,lum,river,potok,patak,ri
122,lum,river,potok,patak,piri
123,lum,river,rucej,folyo,fluviu
124,lum,river,rucej,folyo,ri
125,lum,river,rucej,folyo,piri
126,lum,river,rucej,ar,fluviu
127,lum,river,rucej,ar,ri
128,lum,river,rucej,ar,piri
129,lum,river,rucej,patak,fluviu
130,lum,river,rucej,patak,ri
131,lum,river,rucej,patak,piri
138,pus,spring,izvor,forras,izvor
139,pus,spring,izvor,forras,put
140,pus,spring,izvor,forras,fintin
141,pus,spring,izvor,forras,primavar
142,pus,spring,izvor,kut,izvor
143,pus,spring,izvor,kut,put
144,pus,spring,izvor,kut,fintin
145,pus,spring,izvor,kut,primavar
146,pus,spring,izvor,tavasz,izvor
147,pus,spring,izvor,tavasz,put
148,pus,spring,izvor,tavasz,fintin
149,pus,spring,izvor,tavasz,primavar
150,pus,spring,kladenec,forras,izvor
151,pus,spring,kladenec,forras,put
152,pus,spring,kladenec,forras,fintin
153,pus,spring,kladenec,forras,primavar
154,pus,spring,kladenec,kut,izvor
155,pus,spring,kladenec,kut,put
156,pus,spring,kladenec,kut,fintin
157,pus,spring,kladenec,kut,primavar
158,pus,spring,kladenec,tavasz,izvor
159,pus,spring,kladenec,tavasz,put
160,pus,spring,kladenec,tavasz,fintin
161,pus,spring,kladenec,tavasz,primavar
162,pus,spring,prolet,forras,izvor
163,pus,spring,prolet,forras,put
164,pus,spring,prolet,forras,fintin
165,pus,spring,prolet,forras,primavar
166,pus,spring,prolet,kut,izvor
167,pus,spring,prolet,kut,put
168,pus,spring,prolet,kut,fintin
169,pus,spring,prolet,kut,primavar
170,pus,spring,prolet,tavasz,izvor
171,pus,spring,prolet,tavasz,put
172,pus,spring,prolet,tavasz,fintin
173,pus,spring,prolet,tavasz,primavar
174,guf,spring,izvor,forras,izvor
175,guf,spring,izvor,forras,put
176,guf,spring,izvor,forras,fintin
177,guf,spring,izvor,forras,primavar
178,guf,spring,izvor,kut,izvor
179,guf,spring,izvor,kut,put
180,guf,spring,izvor,kut,fintin
181,guf,spring,izvor,kut,primavar
182,guf,spring,izvor,tavasz,izvor
183,guf,spring,izvor,tavasz,put
184,guf,spring,izvor,tavasz,fintin
185,guf,spring,izvor,tavasz,primavar
186,guf,spring,kladenec,forras,izvor
187,guf,spring,kladenec,forras,put
188,guf,spring,kladenec,forras,fintin
189,guf,spring,kladenec,forras,primavar
190,guf,spring,kladenec,kut,izvor
191,guf,spring,kladenec,kut,put
192,guf,spring,kladenec,kut,fintin
193,guf,spring,kladenec,kut,primavar
194,guf,spring,kladenec,tavasz,izvor
195,guf,spring,kladenec,tavasz,put
196,guf,spring,kladenec,tavasz,fintin
197,guf,spring,kladenec,tavasz,primavar
198,guf,spring,prolet,forras,izvor
199,guf,spring,prolet,forras,put
200,guf,spring,prolet,forras,fintin
201,guf,spring,prolet,forras,primavar
202,guf,spring,prolet,kut,izvor
203,guf,spring,prolet,kut,put
204,guf,spring,prolet,kut,fintin
205,guf,spring,prolet,kut,primavar
206,guf,spring,prolet,tavasz,izvor
207,guf,spring,prolet,tavasz,put
208,guf,spring,prolet,tavasz,fintin
209,guf,spring,prolet,tavasz,primavar
210,krua,spring,izvor,forras,izvor
211,krua,spring,izvor,forras,put
212,krua,spring,izvor,forras,fintin
213,krua,spring,izvor,forras,primavar
