,Word,Language,Word Len,Vowel Ct,Cons Ct,Vowel Percent,Cons Percent,Cons/Vowel
0,vilag,Hungarian,5,2,3,0.4,0.6,1.5
4,fold,Hungarian,4,1,3,0.25,0.75,3.0
6,talay,Hungarian,5,3,2,0.6,0.4,0.6666666666666666
28,por,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
30,sar,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
31,homok,Hungarian,5,2,3,0.4,0.6,1.5
32,hegy,Hungarian,4,2,2,0.5,0.5,1.0
38,siksag,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
39,mez,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
42,volgy,Hungarian,5,2,3,0.4,0.6,1.5
43,sziget,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
45,szarazfold,Hungarian,10,3,7,0.3,0.7,2.3333333333333335
46,kontinens,Hungarian,9,3,6,0.3333333333333333,0.6666666666666666,2.0
51,part,Hungarian,4,1,3,0.25,0.75,3.0
60,viz,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
61,tenger,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
62,to,Hungarian,2,1,1,0.5,0.5,1.0
63,obol,Hungarian,4,2,2,0.5,0.5,1.0
65,hullam,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
68,folyo,Hungarian,5,3,2,0.6,0.4,0.6666666666666666
71,ar,Hungarian,2,1,1,0.5,0.5,1.0
74,patak,Hungarian,5,2,3,0.4,0.6,1.5
95,forras,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
99,kut,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
103,tavasz,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
311,erd,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
312,fa,Hungarian,2,1,1,0.5,0.5,1.0
314,fanyag,Hungarian,6,3,3,0.5,0.5,1.0
315,tzifa,Hungarian,5,2,3,0.4,0.6,1.5
316,k,Hungarian,1,0,1,0.0,1.0,inf
319,szikla,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
322,szirt,Hungarian,5,1,4,0.2,0.8,4.0
370,eg,Hungarian,2,1,1,0.5,0.5,1.0
372,nap,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
373,hold,Hungarian,4,1,3,0.25,0.75,3.0
374,czillag,Hungarian,7,2,5,0.2857142857142857,0.7142857142857143,2.5
376,villam,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
378,mennydorges,Hungarian,11,4,7,0.36363636363636365,0.6363636363636364,1.75
382,zivatar,Hungarian,7,3,4,0.42857142857142855,0.5714285714285714,1.3333333333333333
383,feny,Hungarian,4,2,2,0.5,0.5,1.0
384,vilagossag,Hungarian,10,4,6,0.4,0.6,1.5
387,sotegseg,Hungarian,8,3,5,0.375,0.625,1.6666666666666667
393,arnyek,Hungarian,6,3,3,0.5,0.5,1.0
394,leveg,Hungarian,5,2,3,0.4,0.6,1.5
396,szel,Hungarian,4,1,3,0.25,0.75,3.0
400,czavar,Hungarian,6,2,4,0.3333333333333333,0.6666666666666666,2.0
404,sodor,Hungarian,5,2,3,0.4,0.6,1.5
408,fon,Hungarian,3,1,2,0.3333333333333333,0.6666666666666666,2.0
